Username,Text
Just_Ntokozo,"RT @PeruMorkels: Guys jokes aside, bad matric results don’t mean Jack. Maybe at the time, they had struggles… People are millionaires regar…"
FWillia02626462,"RT @jackie06113586: @pritipatel You are one cruel, inhumane individual who is known to be a bully, you should be never be allowed a governm…"
domdyer70,"RT @scanme_tukslaw: 1 year old XL bully booked to be euthanised Monday morning. 

@ZacGoldsmith @VictoriaPrentis her breeder isn’t interest…"
HolgerBartels6,"RT @mhmck: Actively preventing other countries from participating in the defence of Western civilization from Russian fascist aggression, S…"
Angeeeeeee,@KProtein19 @nytimes Wow!!!! No one cares about our country of overthrow of it or a rouge president that was monume… https://t.co/PB482Ab27r
IDKReformer7,RT @uzoakuchie: People ndi strategists are trying to bully stood by GEJ in 2015 when it was near death wish and you think you will blackmai…
benjoshsmith1,"RT @lindamagTV: More of my old @hill_grange pics have popped up this morning! My character Susi, was naive &amp; hard working but feisty. She w…"
NishaS40654771,@latestly @akshaykumar @arjunk26 @iHrithik These bully actors have not satisfied us now. They are destroying that i… https://t.co/j47dPqJle8
Smiling_Abbey,RT @BashWaziri: @Qdpaper2 You guys need to do better. You can't let others blackmail and bully you into silence. This politics thing is all…
Lawlietern,"Doing some speedrun with Bully
This is my first ever speedrun, gonna do some later if have time

https://t.co/t7v5XLwARi"
Shikonboss,encouragement and recognise the need for help. You will not shoot your mouth off. You will not try to make others f… https://t.co/0K3q79RAgj
paybu,"RT @PeruMorkels: Guys jokes aside, bad matric results don’t mean Jack. Maybe at the time, they had struggles… People are millionaires regar…"
King_Olola,"If a person does not want your candidate, many of y'all will camp in his tweet to abuse, bully and do all sorts....… https://t.co/O73CUz4R8f"
jimmy_1975,@themarkgodfrey School  bully comes to mind …
darrenspeirs6,@TheWiseOlOwl @EdwardPaulCamp1 @DefenceHQ @10DowningStreet @BWallaceMP Ok. I understand your position. We should pr… https://t.co/XwpUYfVS63
CrabCrisp,"@pastorshapes @Jennaaaa92 @TNLUK Oh, so you're one of THOSE people. The ones who tell themselves they're not bad pe… https://t.co/BayDUsNM3i"
ABagOfCandy,@TheProjectUnity Whoever 3D modeled and approved this mock up of the logo for the movie The Ant Bully (2006) also r… https://t.co/XNaM7LRIy8
oritse_weyinmii,"@WLxAJ @ObongRoviel Bully go sleep, as usual"
lvsvea,@irisie8 YES BULLY THEM
irisie8,@lvsvea What is the server for anyways do I get to bully people in there
DarkGentlewoman,RT @BWE_Hub: Yet they have the nerve to bully BW &amp; call themselves “the most desired men”.
aleojanadnizur,because like anyone with common sense i knew it was insane to bully a BABY
LoveFoodYola,"Yho, okes are still creating ghost profile on IG to try bully us ? 

BHOD."
BURYMEINBAPE,@MrVicks Bully
HeathenDanger,@TomiLahren @McConaughey Profound statement from a Placebo journalist. Don't you have a mask to bully?
scrmwy,@0050I122 more reason to bully you..
Texagchick,RT @BarbieRed2024: AOC is a bully that doesn't know when to shut the fuck up. She thinks her job is to tweet all day like a 15 yr old girl…
quangels,Immoral inhumane unprincipled untruthful callous cruel self-serving bully Patel #JohnsonOut138 https://t.co/WvOIvxXqdm
ABillionSuns,@zerogeewhiz He strikes me as being the kind of glass-jawed bully who doesn't have a lot of puff left after a defea… https://t.co/Iaihi3kSBS
ATKK01,"RT @scanme_tukslaw: 1 year old XL bully booked to be euthanised Monday morning. 

@ZacGoldsmith @VictoriaPrentis her breeder isn’t interest…"
passionflowerr_,"RT @mhmck: Actively preventing other countries from participating in the defence of Western civilization from Russian fascist aggression, S…"
scanme_tukslaw,"1 year old XL bully booked to be euthanised Monday morning. 

@ZacGoldsmith @VictoriaPrentis her breeder isn’t inte… https://t.co/CFkFEJjrlA"
IsaacChibuzor,@_FortuneOnyema @UnclePamilerin You can't bully people to support your candidate 😭 it's democracy.. you believe in… https://t.co/B18TwcXmU0
ChrisRBarry,"RT @VintiquesMark: bully patel has become a trafficker, any one believe they will care what happens to those they send to unsafe rwanda, ho…"
MariaPulk,RT @AlanSla90124663: @KatKatisha @WWFCOHIO @Mrs_J_Bananas @CorneliaMller5 @MariaPulk @bar59168089 @JLHerms @Wolves_Nihilist @sparkiebabe @L…
R0ssc03,@ahjaysuschrist @ChrisMcL16 @OppVanSouness @TheSportsman @weebaldy79 @SempleGraham You have any proof of this or do… https://t.co/XnBN3gg3lH
makaiouzodiac,"RT @jxthics: i swear i am going to get this out of my system before s2 i just need to bully geralt of rivia
#witcher https://t.co/67qvogwrgR"
bonniemvo,"RT @aperoniAnim: drew this #bonbunfanart 2 days ago and decided to colour it today 
design by @bonniemvo

i don't draw in this style ever a…"
gryy_ron,RT @lennie2017: @i_nautilus Is Jacob Rees-Smug going to become a real Christian? Will Bully Patel emigrate to Rwanda to oversee her concent…
J0rdanPG,"@vomitpriincess Fuck people who have nothing better to do then bully someone, I don't know you, but i know you're w… https://t.co/kT9i80Q5Tl"
kk131066,"RT @kk131066: https://t.co/EDJfxOooRd

Our rights don't exist without our responsibilities

Those who ignore responsibilities, shouldn't ta…"
ThomBBX,@greggrunberg who told you it was okay to bully up and coming directors going through mental health crises? You’re… https://t.co/3npnulrtzO
widged,@HonestAutistic I too have no memory of being bullied. But there was that time the class bully and #1 at gym was do… https://t.co/cRzov3fLSG
amaizuskitchen,RT @MakomboreroH: These ones mistake likes and trends for consciousness. They mistake political correctness for political consciousness. Th…
